Title,Author,Year,Rating,Raters,Rating_class
The Shining (Paperback),Stephen King,1977,4.26,1331732,good
It (Paperback),Stephen King,1986,4.25,979436,good
Dracula (Paperback),Bram Stoker,1897,4.01,1119957,good
Carrie (Mass Market Paperback),Stephen King,1974,3.98,630669,mid
Pet Sematary (Kindle Edition),Stephen King,1983,4.04,516341,good
Frankenstein: The 1818 Text (Paperback),Mary Wollstonecraft Shelley,1818,3.84,1395687,mid
The Haunting of Hill House (Paperback),Shirley Jackson,1959,3.83,237799,mid
'Salem's Lot (Paperback),Stephen King,1975,4.05,398858,good
The Stand (Hardcover),Stephen King,1978,4.34,702945,good
Misery (Paperback),Stephen King,1987,4.2,606417,good
Mexican Gothic (Hardcover),Silvia Moreno-Garcia,2020,3.68,261264,mid
House of Leaves (Paperback),Mark Z. Danielewski,2000,4.09,149054,good
"Interview with the Vampire (The Vampire Chronicles, #1)",Anne Rice,1976,4.01,540950,good
"Doctor Sleep (The Shining, #2)",Stephen King,2013,4.12,233162,good
World War Z: An Oral History of the Zombie War (Hardcover),Max Brooks,2006,4.01,489806,good
We Have Always Lived in the Castle (Paperback),Shirley Jackson,1962,3.96,172311,mid
Cujo (Paperback),Stephen King,1981,3.76,258563,mid
NOS4A2 (Hardcover),Joe Hill,2013,4.08,116623,good
The Exorcist (Mass Market Paperback),William Peter Blatty,1971,4.19,210733,good
"Bird Box (Bird Box, #1)",Josh Malerman,2014,4.04,170247,good
Heart-Shaped Box (Hardcover),Joe Hill,2007,3.84,123555,mid
Coraline (Paperback),Neil Gaiman,2002,4.09,598467,good
Needful Things (Paperback),Stephen King,1991,3.95,232425,mid
Christine (Paperback),Stephen King,1983,3.82,223565,mid
Dr. Jekyll and Mr. Hyde (Paperback),Robert Louis Stevenson,1886,3.83,491216,mid
Let the Right One In (Hardcover),John Ajvide Lindqvist,2004,4.04,102268,good
Night Shift (Paperback),Stephen King,1978,4.02,165802,good
The Southern Book Club's Guide to Slaying Vampires (Kindle Edition),Grady Hendrix,2020,3.82,143592,mid
The Only Good Indians (Hardcover),Stephen Graham Jones,2020,3.72,54016,mid
The Outsider (Hardcover),Stephen King,2018,3.99,250144,mid
"Rosemary's Baby (Rosemary's Baby, #1)",Ira Levin,1967,4.02,127441,good
A Head Full of Ghosts (Hardcover),Paul Tremblay,2015,3.8,65697,mid
Firestarter (Mass Market Paperback),Stephen King,1980,3.91,211607,mid
The Dead Zone (Mass Market Paperback),Stephen King,1979,3.95,205848,mid
Cell (Mass Market Paperback),Stephen King,2006,3.66,210693,mid
"The Silence of the Lambs  (Hannibal Lecter, #2)",Thomas  Harris,1988,4.23,517530,good
Horrorstör (Paperback),Grady Hendrix,2014,3.66,60747,mid
"The Girl with All the Gifts (The Girl with All the Gifts, #1)",M.R. Carey,2014,3.95,210595,mid
Horns (Hardcover),Joe Hill,2009,3.93,108625,mid
My Best Friend's Exorcism (Kindle Edition),Grady Hendrix,2016,3.97,68935,mid
The Picture of Dorian Gray (Paperback),Oscar Wilde,1890,4.11,1273429,good
The Troop (Hardcover),Nick Cutter,2014,3.82,52160,mid
The Turn of the Screw (Paperback),Henry James,1898,3.4,135447,mid
"Something Wicked This Way Comes (Green Town, #2)",Ray Bradbury,1962,3.92,117749,mid
Bag of Bones (Paperback),Stephen King,1998,3.91,187397,mid
The Tommyknockers (Mass Market Paperback),Stephen King,1987,3.58,140655,mid
Thinner (Mass Market Paperback),Richard Bachman,1984,3.75,194828,mid
Under the Dome (Hardcover),Stephen King,2009,3.91,281724,mid
The Dark Half (Paperback),Stephen King,1989,3.8,134110,mid
The Institute (Hardcover),Stephen King,2019,4.2,213130,good
Skeleton Crew (Paperback),Stephen King,1985,3.97,118367,mid
"The Gunslinger (The Dark Tower, #1)",Stephen King,1982,3.94,565556,mid
The Final Girl Support Group (Hardcover),Grady Hendrix,2021,3.56,76451,mid
"The Passage (The Passage, #1)",Justin Cronin,2010,4.04,201220,good
"Red Dragon (Hannibal Lecter, #1)",Thomas  Harris,1981,4.05,308597,good
I Am Legend (Kindle Edition),Richard Matheson,1954,4.06,117399,good
Gerald's Game (Hardcover),Stephen King,1992,3.55,148895,mid
Carmilla (Paperback),J. Sheridan Le Fanu,1872,3.83,73796,mid
Desperation (Mass Market Paperback),Stephen King,1996,3.84,132482,mid
Insomnia (Paperback),Stephen King,1994,3.83,146456,mid
The Mist (Paperback),Stephen King,1980,3.95,135974,mid
Dreamcatcher (Paperback),Stephen King,2001,3.64,165409,mid
The Green Mile (Paperback),Stephen King,1996,4.46,287185,good
"The Vampire Lestat (The Vampire Chronicles, #2)",Anne Rice,1985,4.08,188954,good
American Psycho (Paperback),Bret Easton Ellis,1991,3.82,274382,mid
The Woman in Black (Paperback),Susan         Hill,1983,3.74,59130,mid
"The Strain (The Strain Trilogy, #1)",Guillermo del Toro,2009,3.79,83527,mid
Ghost Story (Mass Market Paperback),Peter Straub,1979,3.94,73898,mid
The Long Walk (Mass Market Paperback),Richard Bachman,1979,4.1,156483,good
I Am Legend and Other Stories (Paperback),Richard Matheson,1954,4.0,126447,mid
Through the Woods (Hardcover),Emily Carroll,2014,3.94,74004,mid
Tender is the Flesh (Paperback),Agustina Bazterrica,2017,3.89,76059,mid
Hell House (Hardcover),Richard Matheson,1971,3.77,44808,mid
The Amityville Horror (Mass Market Paperback),Jay Anson,1977,3.84,120549,mid
"Into the Drowning Deep (Rolling in the Deep, #1)",Mira Grant,2017,3.99,25014,mid
The Hellbound Heart (Paperback),Clive Barker,1986,4.06,48364,good
"Full Dark, No Stars (Hardcover)",Stephen King,2011,4.07,102506,good
The Terror (Hardcover),Dan Simmons,2007,4.06,54414,good
Revival (Hardcover),Stephen King,2014,3.79,113905,mid
Different Seasons (Mass Market Paperback),Stephen King,1982,4.35,192417,good
Everything's Eventual (Paperback),Stephen King,2002,3.97,94620,mid
Four Past Midnight (Paperback),Stephen King,1990,3.94,104028,mid
The Girl Who Loved Tom Gordon (Paperback),Stephen King,1999,3.62,147796,mid
The Ruins (Hardcover),Scott        Smith,2006,3.64,40799,mid
Annihilation (Paperback),Jeff VanderMeer,2014,3.74,193474,mid
I'm Thinking of Ending Things (Kindle Edition),Iain Reid,2016,3.59,113216,mid
"Anna Dressed in Blood (Anna, #1)",Kendare Blake,2011,3.91,102812,mid
The Cabin at the End of the World (Hardcover),Paul Tremblay,2018,3.29,49318,mid
"Welcome to Lovecraft (Locke & Key, #1)",Joe Hill,2008,4.15,92034,good
Duma Key (Hardcover),Stephen King,2008,3.96,113528,mid
Nightmares and Dreamscapes (Paperback),Stephen King,1993,3.95,78693,mid
"The Talisman (The Talisman, #1)",Stephen King,1984,4.13,119445,good
Bunny (Hardcover),Mona Awad,2019,3.58,68721,mid
Home Before Dark (Hardcover),Riley Sager,2020,4.09,130151,good
Rose Madder (Paperback),Stephen King,1995,3.73,105491,mid
Dolores Claiborne (ebook),Stephen King,1992,3.9,140117,mid
Wilder Girls (Hardcover),Rory Power,2019,3.48,70969,mid
"The Queen of the Damned (The Vampire Chronicles, #3)",Anne Rice,1988,3.9,144751,mid
"John Dies at the End (John Dies at the End, #1)",David  Wong,2007,3.89,68321,mid
The Ballad of Black Tom (Paperback),Victor LaValle,2016,3.88,22194,mid
The Last House on Needless Street (Hardcover),Catriona Ward,2021,3.87,50408,mid
The Graveyard Book (Hardcover),Neil Gaiman,2008,4.15,497290,good
"My Heart Is a Chainsaw (The Lake Witch Trilogy, #1)",Stephen Graham Jones,2021,3.58,20107,mid
The Hollow Places (Paperback),T. Kingfisher,2020,3.8,18772,mid
Lovecraft Country (ebook),Matt Ruff,2016,4.02,39160,good
Nothing But Blackened Teeth (Hardcover),Cassandra Khaw,2021,2.76,21758,mid
The Twisted Ones (Hardcover),T. Kingfisher,2019,3.64,18485,mid
At the Mountains of Madness (Paperback),H.P. Lovecraft,1931,3.84,44779,mid
Hex (Paperback),Thomas Olde Heuvelt,2013,3.73,28742,mid
"Feed (Newsflesh, #1)",Mira Grant,2010,3.85,56100,mid
If It Bleeds (Kindle Edition),Stephen King,2020,4.01,72633,good
Later (Kindle Edition),Stephen King,2021,4.0,100875,mid
The Call of Cthulhu and Other Weird Stories (Paperback),H.P. Lovecraft,1926,4.18,43742,good
Sleeping Beauties (Hardcover),Stephen King,2017,3.73,74832,mid
Imaginary Friend (Hardcover),Stephen Chbosky,2019,3.53,41571,mid
The Ocean at the End of the Lane (Hardcover),Neil Gaiman,2013,4.01,558305,good
Cycle of the Werewolf (Paperback),Stephen King,1983,3.66,55163,mid
20th Century Ghosts (Hardcover),Joe Hill,2005,3.93,39585,mid
"The Drawing of the Three (The Dark Tower, #2)",Stephen King,1987,4.23,239990,good
Swan Song (Mass Market Paperback),Robert McCammon,1987,4.28,62042,good
The Fireman (Paperback),Joe Hill,2016,3.91,55882,mid
"Odd Thomas (Odd Thomas, #1)",Dean Koontz,2004,3.98,261455,mid
"Psycho (Psycho, #1)",Robert Bloch,1959,4.12,60994,good
The Regulators (Mass Market Paperback),Richard Bachman,1996,3.71,78751,mid
Uzumaki (Hardcover),Junji Ito,2000,4.44,42133,good
Watchers (Paperback),Dean Koontz,1987,4.18,158406,good
Slade House (Kindle Edition),David Mitchell,2015,3.81,59515,mid
The Hunger (Hardcover),Alma Katsu,2018,3.63,22515,mid
"Mr. Mercedes (Bill Hodges Trilogy, #1)",Stephen King,2014,3.99,279731,mid
Scary Stories to Tell in the Dark (Paperback),Alvin Schwartz,1981,4.05,62843,good
Lisey's Story (Hardcover),Stephen King,2006,3.7,79759,mid
The Historian (Kindle Edition),Elizabeth Kostova,2005,3.79,256118,mid
The Bazaar of Bad Dreams (Hardcover),Stephen King,2015,3.92,55035,mid
"Pride and Prejudice and Zombies (Pride and Prejudice and Zombies, #1)",Seth Grahame-Smith,2009,3.31,135098,mid
Things Have Gotten Worse Since We Last Spoke (Kindle Edition),Eric LaRocca,2021,3.05,31186,mid
The Winter People (Hardcover),Jennifer  McMahon,2014,3.81,63238,mid
The Complete Stories and Poems (Hardcover),Edgar Allan Poe,1849,4.38,239625,good
From a Buick 8 (Hardcover),Stephen King,2002,3.47,64840,mid
Perfume: The Story of a Murderer (Paperback),Patrick Süskind,1985,4.03,404274,good
The Call of Cthulhu (Kindle Edition),H.P. Lovecraft,1928,3.99,49110,mid
"Black House (The Talisman, #2)",Stephen King,2001,4.02,58745,good
Kill Creek (Paperback),Scott   Thomas,2017,3.78,15594,mid
Ring Shout (Hardcover),P. Djèlí Clark,2020,4.06,22489,good
The Fisherman (Paperback),John  Langan,2016,3.94,16542,mid
"The Waste Lands (The Dark Tower, #3)",Stephen King,1991,4.24,204625,good
"The Witching Hour (Lives of the Mayfair Witches, #1)",Anne Rice,1990,4.11,109543,good
The Girl Next Door (Paperback),Jack Ketchum,1989,3.94,31056,mid
"Hannibal (Hannibal Lecter, #3)",Thomas  Harris,1999,3.8,99393,mid
"Ring (Ring, #1)",Kōji Suzuki,1991,3.81,19175,mid
Haunted (Paperback),Chuck Palahniuk,2005,3.6,97056,mid
Joyland (Paperback),Stephen King,2013,3.93,141475,mid
Just After Sunset (Hardcover),Stephen King,2008,3.87,51240,mid
The Yellow Wall-Paper (Paperback),Charlotte Perkins Gilman,1892,4.12,144447,good
What Moves the Dead (Hardcover),T. Kingfisher,2022,4.0,12343,mid
"Jaws (Jaws, #1)",Peter Benchley,1974,3.96,152014,mid
"Days Gone Bye (The Walking Dead, #1)",Robert Kirkman,2004,4.27,219359,good
"Flowers in the Attic (Dollanganger, #1)",V.C. Andrews,1979,3.84,190284,mid
The Elementals (Paperback),Michael McDowell,1981,4.02,14958,good
The Silent Companions (Paperback),Laura  Purcell,2017,3.9,26658,mid
"Miss Peregrine's Home for Peculiar Children (Miss Peregrine's Peculiar Children, #1)",Ransom Riggs,2011,3.92,1157289,mid
A Monster Calls (Paperback),Patrick Ness,2011,4.35,244292,good
Phantoms (Mass Market Paperback),Dean Koontz,1983,3.96,70413,mid
Devolution: A Firsthand Account of the Rainier Sasquatch Massacre (Hardcover),Max Brooks,2020,3.92,37387,mid
The Phantom of the Opera (Paperback),Gaston Leroux,1909,3.96,221173,mid
"Summer of Night (Seasons of Horror, #1)",Dan Simmons,1991,4.04,23478,good
The Legend of Sleepy Hollow (Paperback),Washington Irving,1820,3.72,64667,mid
The Deep (Hardcover),Nick Cutter,2015,3.4,18603,mid
The Ritual (Paperback),Adam Nevill,2011,3.6,18015,mid
Meddling Kids (Hardcover),Edgar Cantero,2017,3.55,27116,mid
The Road (Hardcover),Cormac McCarthy,2006,3.98,812357,mid
Plain Bad Heroines (Hardcover),Emily M. Danforth,2020,3.67,18193,mid
Her Body and Other Parties: Stories (Paperback),Carmen Maria Machado,2017,3.88,67188,mid
"Head Games (Locke & Key, #2)",Joe Hill,2009,4.32,43468,good
"The Tale of the Body Thief (The Vampire Chronicles, #4)",Anne Rice,1992,3.74,83579,mid
"The Year of the Witching (Bethel, #1)",Alexis Henderson,2020,3.82,27545,mid
"Alice (The Chronicles of Alice, #1)",Christina Henry,2015,3.86,33704,mid
Come Closer (Paperback),Sara Gran,2003,3.63,17776,mid
"Books of Blood: Volumes One to Three (Books of Blood, #1-3)",Clive Barker,1984,4.18,26507,good
Hearts in Atlantis (Paperback),Stephen King,1999,3.84,90284,mid
"Wizard and Glass (The Dark Tower, #4)",Stephen King,1997,4.25,182960,good
Carrion Comfort (Mass Market Paperback),Dan Simmons,1989,3.9,21340,mid
House of Hollow (Hardcover),Krystal Sutherland,2021,4.07,44473,good
The Library at Mount Char (Paperback),Scott  Hawkins,2015,4.09,44065,good
"The Twelve (The Passage, #2)",Justin Cronin,2012,4.01,94393,good
The Sun Down Motel (Hardcover),Simone St. James,2020,4.03,113141,good
Dead Silence (Hardcover),S.A. Barnes,2022,3.81,10270,mid
"The Fall (The Strain Trilogy, #2)",Guillermo del Toro,2010,3.82,37562,mid
"Books of Blood, Volume One (Books of Blood, #1)",Clive Barker,1984,4.04,23827,good
The Tell-Tale Heart (Hardcover),Edgar Allan Poe,1843,4.24,78135,good
The Wasp Factory (Paperback),Iain Banks,1984,3.79,88086,mid
11/22/63 (Hardcover),Stephen King,2011,4.32,485371,good
The Running Man (Paperback),Stephen King,1982,3.89,118377,mid
The Tell-Tale Heart and Other Writings (Mass Market Paperback),Edgar Allan Poe,1843,4.19,234602,good
"Clown in a Cornfield (Clown in a Cornfield, #1)",Adam Cesare,2020,3.76,14081,mid
Final Girls (Hardcover),Riley Sager,2017,3.84,134655,mid
The Lottery (Paperback),Shirley Jackson,1948,4.07,74875,good
The Island of Dr. Moreau (Paperback),H.G. Wells,1896,3.73,109608,mid
The Zombie Survival Guide: Complete Protection from the Living Dead (Paperback),Max Brooks,2003,3.85,101031,mid
We Sold Our Souls (Kindle Edition),Grady Hendrix,2018,3.79,14750,mid
The Luminous Dead (Kindle Edition),Caitlin  Starling,2019,3.69,10913,mid
'Salem's Lot (Hardcover),Stephen King,1975,4.26,104892,good
"Abraham Lincoln: Vampire Hunter (Abraham Lincoln: Vampire Hunter, #1)",Seth Grahame-Smith,2010,3.71,133783,mid
"Memnoch the Devil (The Vampire Chronicles, #5)",Anne Rice,1995,3.76,78813,mid
"Relic (Pendergast, #1)",Douglas Preston,1995,4.04,101675,good
Strange Weather (Hardcover),Joe Hill,2017,3.86,22126,mid
The Book of Accidents (Hardcover),Chuck Wendig,2021,3.78,15228,mid
The Book of Accidents (Hardcover),Chuck Wendig,2021,3.78,15228,mid
"Wolves of the Calla (The Dark Tower, #5)",Stephen King,2003,4.19,170948,good
"A Dowry of Blood (A Dowry of Blood, #1)",S.T. Gibson,2021,4.17,16575,good
"Crown of Shadows (Locke & Key, #3)",Joe Hill,2010,4.4,37636,good
"The Dark Tower (The Dark Tower, #7)",Stephen King,2004,4.27,160531,good
The Fall of the House of Usher: An Edgar Allan Poe Short Story (Paperback),Edgar Allan Poe,1839,3.92,52883,mid
"The Girl from the Well (The Girl from the Well, #1)",Rin Chupeco,2014,3.8,11210,mid
"The Forest of Hands and Teeth (The Forest of Hands and Teeth, #1)",Carrie Ryan,2009,3.6,84203,mid
Penpal (Paperback),Dathan Auerbach,2012,3.88,19963,mid
Night of the Mannequins (Paperback),Stephen Graham Jones,2020,3.38,11458,mid
"Asylum (Asylum, #1)",Madeleine Roux,2013,3.64,52949,mid
"The Butterfly Garden  (The Collector, #1)",Dot Hutchison,2016,4.07,154386,good
"The Monstrumologist (The Monstrumologist, #1)",Rick Yancey,2009,3.9,18746,mid
"Song of Susannah (The Dark Tower, #6)",Stephen King,2004,3.99,146348,mid
The Bachman Books (Paperback),Richard Bachman,1985,4.14,70398,good
The Best of H.P. Lovecraft: Bloodcurdling Tales of Horror and the Macabre (Paperback),H.P. Lovecraft,1963,4.31,28743,good
The Bloody Chamber and Other Stories (Paperback),Angela Carter,1979,3.95,48871,mid
The Death of Jane Lawrence (Hardcover),Caitlin  Starling,2021,3.2,12195,mid
"Gwendy's Button Box (The Button Box, #1)",Stephen King,2017,3.92,58980,mid
The Lottery and Other Stories (Paperback),Shirley Jackson,1949,4.05,71240,good
Intensity (Paperback),Dean Koontz,1995,4.04,79344,good
Battle Royale (Paperback),Koushun Takami,1999,4.25,67115,good
Night Film (Paperback),Marisha Pessl,2013,3.78,85378,mid
Hide (Hardcover),Kiersten White,2022,3.34,16071,mid
Sawkill Girls (Hardcover),Claire Legrand,2018,3.68,15714,mid
"Preludes & Nocturnes (The Sandman, #1)",Neil Gaiman,1988,4.24,247965,good
"Keys to the Kingdom (Locke & Key, #4)",Joe Hill,2011,4.38,33681,good
The Hacienda (Hardcover),Isabel Cañas,2022,3.85,18242,mid
"Small Spaces (Small Spaces, #1)",Katherine Arden,2018,4.02,20630,good
The Raven (Paperback),Edgar Allan Poe,1845,4.29,124767,good
The Cask of Amontillado - an Edgar Allan Poe Short Story (Paperback),Edgar Allan Poe,1846,4.09,71561,good
The Willows (Paperback),Algernon Blackwood,1907,4.09,10629,good
